Obs,sampleno,month,day,year,metal,type,siteno,conc1,conc,MDL
252,7,December,7,2018,Pb,W,5,BDL,0.792800191,1.585600382
253,8,December,7,2018,Pb,W,6,BDL,0.792800191,1.585600382
254,9,December,7,2018,Pb,W,7,BDL,0.792800191,1.585600382
255,10,December,7,2018,Pb,W,8,BDL,0.792800191,1.585600382
256,11,December,7,2018,Pb,W,9,BDL,0.792800191,1.585600382
257,12,December,7,2018,Pb,W,10,BDL,0.792800191,1.585600382
258,14,December,7,2018,Pb,W,11,BDL,0.792800191,1.585600382
259,15,December,7,2018,Pb,W,12,BDL,0.792800191,1.585600382
260,16,December,7,2018,Pb,W,13,BDL,0.792800191,1.585600382
261,103,December,7,2018,Se,F,1,BDL,0.142753534,0.285507068
262,104,December,7,2018,Se,F,2,BDL,0.142753534,0.285507068
263,106,December,7,2018,Se,F,3,BDL,0.142753534,0.285507068
264,107,December,7,2018,Se,F,4,BDL,0.142753534,0.285507068
265,108,December,7,2018,Se,F,5,0.7,0.7,0.285507068
266,109,December,7,2018,Se,F,6,0.72,0.72,0.285507068
267,111,December,7,2018,Se,F,7,0.58,0.58,0.285507068
268,112,December,7,2018,Se,F,8,BDL,0.142753534,0.285507068
269,113,December,7,2018,Se,F,9,BDL,0.142753534,0.285507068
270,114,December,7,2018,Se,F,10,BDL,0.142753534,0.285507068
271,115,December,7,2018,Se,F,11,0.6,0.6,0.285507068
272,117,December,7,2018,Se,F,12,BDL,0.142753534,0.285507068
273,118,December,7,2018,Se,F,13,BDL,0.142753534,0.285507068
274,1,December,7,2018,Se,W,1,BDL,0.142753534,0.285507068
275,3,December,7,2018,Se,W,2,BDL,0.142753534,0.285507068
276,4,December,7,2018,Se,W,3,BDL,0.142753534,0.285507068
277,5,December,7,2018,Se,W,4,BDL,0.142753534,0.285507068
278,7,December,7,2018,Se,W,5,BDL,0.142753534,0.285507068
279,8,December,7,2018,Se,W,6,BDL,0.142753534,0.285507068
280,9,December,7,2018,Se,W,7,BDL,0.142753534,0.285507068
281,10,December,7,2018,Se,W,8,BDL,0.142753534,0.285507068
282,11,December,7,2018,Se,W,9,BDL,0.142753534,0.285507068
283,12,December,7,2018,Se,W,10,BDL,0.142753534,0.285507068
284,14,December,7,2018,Se,W,11,BDL,0.142753534,0.285507068
285,15,December,7,2018,Se,W,12,BDL,0.142753534,0.285507068
286,16,December,7,2018,Se,W,13,BDL,0.142753534,0.285507068
287,103,December,7,2018,V,F,1,0.82,0.82,0.011338934
288,104,December,7,2018,V,F,2,0.857142857,0.857142857,0.011338934
289,106,December,7,2018,V,F,3,1.06,1.06,0.011338934
290,107,December,7,2018,V,F,4,1.04,1.04,0.011338934
291,108,December,7,2018,V,F,5,1.14,1.14,0.011338934
292,109,December,7,2018,V,F,6,1.36,1.36,0.011338934
293,111,December,7,2018,V,F,7,1.6,1.6,0.011338934
294,112,December,7,2018,V,F,8,1.68,1.68,0.011338934
295,113,December,7,2018,V,F,9,1.5,1.5,0.011338934
296,114,December,7,2018,V,F,10,1.54,1.54,0.011338934
297,115,December,7,2018,V,F,11,1.5,1.5,0.011338934
298,117,December,7,2018,V,F,12,1.1,1.1,0.011338934
299,118,December,7,2018,V,F,13,0.761904762,0.761904762,0.011338934
300,1,December,7,2018,V,W,1,0.9,0.9,0.011338934
301,3,December,7,2018,V,W,2,0.863636364,0.863636364,0.011338934
302,4,December,7,2018,V,W,3,0.909090909,0.909090909,0.011338934
303,5,December,7,2018,V,W,4,1.2,1.2,0.011338934
304,7,December,7,2018,V,W,5,1.151515152,1.151515152,0.011338934
305,8,December,7,2018,V,W,6,1.58,1.58,0.011338934
306,9,December,7,2018,V,W,7,1.76,1.76,0.011338934
307,10,December,7,2018,V,W,8,2.22,2.22,0.011338934
308,11,December,7,2018,V,W,9,1.62,1.62,0.011338934
309,12,December,7,2018,V,W,10,1.5,1.5,0.011338934
310,14,December,7,2018,V,W,11,1.58,1.58,0.011338934
311,15,December,7,2018,V,W,12,1.16,1.16,0.011338934
312,16,December,7,2018,V,W,13,0.84,0.84,0.011338934
313,103,December,7,2018,Zn,F,1,29.64,29.64,3.503999755
314,104,December,7,2018,Zn,F,2,63.04761905,63.04761905,3.503999755
315,106,December,7,2018,Zn,F,3,40.38,40.38,3.503999755
316,107,December,7,2018,Zn,F,4,31.78,31.78,3.503999755
317,108,December,7,2018,Zn,F,5,36.34,36.34,3.503999755
318,109,December,7,2018,Zn,F,6,33.36,33.36,3.503999755
319,111,December,7,2018,Zn,F,7,34.76,34.76,3.503999755
320,112,December,7,2018,Zn,F,8,36.62,36.62,3.503999755
321,113,December,7,2018,Zn,F,9,30.34,30.34,3.503999755
322,114,December,7,2018,Zn,F,10,30.24,30.24,3.503999755
323,115,December,7,2018,Zn,F,11,45.44,45.44,3.503999755
324,117,December,7,2018,Zn,F,12,46.28,46.28,3.503999755
325,118,December,7,2018,Zn,F,13,44.57142857,44.57142857,3.503999755
326,1,December,7,2018,Zn,W,1,14.96,14.96,3.503999755
327,3,December,7,2018,Zn,W,2,19.77272727,19.77272727,3.503999755
328,4,December,7,2018,Zn,W,3,17.59090909,17.59090909,3.503999755
329,5,December,7,2018,Zn,W,4,13.98,13.98,3.503999755
330,7,December,7,2018,Zn,W,5,18.39393939,18.39393939,3.503999755
331,8,December,7,2018,Zn,W,6,22.02,22.02,3.503999755
332,9,December,7,2018,Zn,W,7,26.4,26.4,3.503999755
333,10,December,7,2018,Zn,W,8,22.3,22.3,3.503999755
334,11,December,7,2018,Zn,W,9,18.34,18.34,3.503999755
335,12,December,7,2018,Zn,W,10,15.86,15.86,3.503999755
336,14,December,7,2018,Zn,W,11,19.62,19.62,3.503999755
337,15,December,7,2018,Zn,W,12,15.18,15.18,3.503999755
338,16,December,7,2018,Zn,W,13,9.52,9.52,3.503999755
339,157,April,18,2019,Al,F,1,37.4,37.4,9.417115118
340,158,April,18,2019,Al,F,2,34.14,34.14,9.417115118
341,159,April,18,2019,Al,F,3,23.5,23.5,9.417115118
342,160,April,18,2019,Al,F,4,29.4,29.4,9.417115118
343,161,April,18,2019,Al,F,5,23.7,23.7,9.417115118
344,163,April,18,2019,Al,F,6,25.18,25.18,9.417115118
345,164,April,18,2019,Al,F,7,20.06,20.06,9.417115118
346,165,April,18,2019,Al,F,8,22.82,22.82,9.417115118
347,166,April,18,2019,Al,F,9,81.42,81.42,9.417115118
348,168,April,18,2019,Al,F,10,101.36,101.36,9.417115118
349,169,April,18,2019,Al,F,11,117.14,117.14,9.417115118
350,170,April,18,2019,Al,F,12,143.2,143.2,9.417115118
351,171,April,18,2019,Al,F,13,160.5,160.5,9.417115118
352,56,April,18,2019,Al,W,1,282.8,282.8,9.417115118
353,57,April,18,2019,Al,W,2,368.2,368.2,9.417115118
354,58,April,18,2019,Al,W,3,358.6,358.6,9.417115118
355,59,April,18,2019,Al,W,4,532.2,532.2,9.417115118
356,60,April,18,2019,Al,W,5,533.2,533.2,9.417115118
357,62,April,18,2019,Al,W,6,640.2,640.2,9.417115118
358,63,April,18,2019,Al,W,7,878.8,878.8,9.417115118
359,64,April,18,2019,Al,W,8,1037.419355,1037.419355,9.417115118
360,65,April,18,2019,Al,W,9,985.6,985.6,9.417115118
361,66,April,18,2019,Al,W,10,1323.548387,1323.548387,9.417115118
362,67,April,18,2019,Al,W,11,1029.8,1029.8,9.417115118
363,68,April,18,2019,Al,W,12,1244.8,1244.8,9.417115118
364,70,April,18,2019,Al,W,13,868.6,868.6,9.417115118
365,157,April,18,2019,As,F,1,15.92,15.92,0.026992062
366,158,April,18,2019,As,F,2,15.66,15.66,0.026992062
367,159,April,18,2019,As,F,3,18.38,18.38,0.026992062
368,160,April,18,2019,As,F,4,17.92,17.92,0.026992062
369,161,April,18,2019,As,F,5,16.38,16.38,0.026992062
370,163,April,18,2019,As,F,6,16.76,16.76,0.026992062
371,164,April,18,2019,As,F,7,17.02,17.02,0.026992062
372,165,April,18,2019,As,F,8,15.94,15.94,0.026992062
373,166,April,18,2019,As,F,9,11.72,11.72,0.026992062
374,168,April,18,2019,As,F,10,10.34,10.34,0.026992062
375,169,April,18,2019,As,F,11,11.52,11.52,0.026992062
376,170,April,18,2019,As,F,12,7.54,7.54,0.026992062
377,171,April,18,2019,As,F,13,4.78,4.78,0.026992062
378,56,April,18,2019,As,W,1,20.1,20.1,0.026992062
379,57,April,18,2019,As,W,2,21,21,0.026992062
380,58,April,18,2019,As,W,3,21.4,21.4,0.026992062
381,59,April,18,2019,As,W,4,23.86,23.86,0.026992062
382,60,April,18,2019,As,W,5,20.72,20.72,0.026992062
383,62,April,18,2019,As,W,6,21.38,21.38,0.026992062
384,63,April,18,2019,As,W,7,22.86,22.86,0.026992062
385,64,April,18,2019,As,W,8,21.87096774,21.87096774,0.026992062
386,65,April,18,2019,As,W,9,16,16,0.026992062
387,66,April,18,2019,As,W,10,21.25806452,21.25806452,0.026992062
388,67,April,18,2019,As,W,11,9.86,9.86,0.026992062
389,68,April,18,2019,As,W,12,11.38,11.38,0.026992062
390,70,April,18,2019,As,W,13,6.28,6.28,0.026992062
391,157,April,18,2019,Cd,F,1,0.04,0.04,0.011338934
392,158,April,18,2019,Cd,F,2,0.04,0.04,0.011338934
393,159,April,18,2019,Cd,F,3,0.04,0.04,0.011338934
394,160,April,18,2019,Cd,F,4,BDL,0.005669467,0.011338934
395,161,April,18,2019,Cd,F,5,0.04,0.04,0.011338934
396,163,April,18,2019,Cd,F,6,0.08,0.08,0.011338934
397,164,April,18,2019,Cd,F,7,0.08,0.08,0.011338934
398,165,April,18,2019,Cd,F,8,0.08,0.08,0.011338934
399,166,April,18,2019,Cd,F,9,0.08,0.08,0.011338934
400,168,April,18,2019,Cd,F,10,0.06,0.06,0.011338934
401,169,April,18,2019,Cd,F,11,0.06,0.06,0.011338934
402,170,April,18,2019,Cd,F,12,0.04,0.04,0.011338934
403,171,April,18,2019,Cd,F,13,BDL,0.005669467,0.011338934
404,56,April,18,2019,Cd,W,1,0.22,0.22,0.011338934
405,57,April,18,2019,Cd,W,2,0.28,0.28,0.011338934
406,58,April,18,2019,Cd,W,3,0.14,0.14,0.011338934
407,59,April,18,2019,Cd,W,4,0.22,0.22,0.011338934
408,60,April,18,2019,Cd,W,5,0.22,0.22,0.011338934
409,62,April,18,2019,Cd,W,6,0.2,0.2,0.011338934
410,63,April,18,2019,Cd,W,7,0.22,0.22,0.011338934
411,64,April,18,2019,Cd,W,8,0.225806452,0.225806452,0.011338934
412,65,April,18,2019,Cd,W,9,0.12,0.12,0.011338934
413,66,April,18,2019,Cd,W,10,0.193548387,0.193548387,0.011338934
414,67,April,18,2019,Cd,W,11,0.12,0.12,0.011338934
415,68,April,18,2019,Cd,W,12,0.18,0.18,0.011338934
416,70,April,18,2019,Cd,W,13,0.06,0.06,0.011338934
